asset,status,source,crop_box,pixel_size,notes
backgrounds/satellite_group.png,READY,卡通游戏天空城市太空素材表.png,"(1180, 785, 1448, 1086)",268x301,卫星与小行星
ui_components/tutorial_drag.png,NEEDS_REVIEW,游戏教程ui图标资产合集.png,"(0, 0, 390, 410)",373x397,源图可能混入周边效果，需目测清边；拖动手势候选
ui_components/tutorial_rotate.png,NEEDS_REVIEW,游戏教程ui图标资产合集.png,"(330, 0, 750, 410)",420x405,源图可能混入周边效果，需目测清边；旋转手势候选
ui_components/tutorial_release.png,NEEDS_REVIEW,游戏教程ui图标资产合集.png,"(720, 0, 1110, 410)",390x405,源图可能混入周边效果，需目测清边；松手释放候选
item_bar/itembar_empty.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(20, 20, 365, 195)",345x175,RGB源图，已切片但背景/文字需二次抠图清理；2槽全空
item_bar/itembar_highlight_left.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(390, 20, 720, 195)",330x175,RGB源图，已切片但背景/文字需二次抠图清理；左槽高亮
item_bar/itembar_highlight_right.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(755, 20, 1085, 195)",330x175,RGB源图，已切片但背景/文字需二次抠图清理；右槽高亮
item_bar/itembar_highlight_both.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(1110, 20, 1440, 195)",330x175,RGB源图，已切片但背景/文字需二次抠图清理；双槽高亮
item_bar/itembar_filled_left.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(25, 275, 365, 420)",340x145,RGB源图，已切片但背景/文字需二次抠图清理；左槽占用
item_bar/itembar_filled_right.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(390, 275, 720, 420)",330x145,RGB源图，已切片但背景/文字需二次抠图清理；右槽占用
item_bar/itembar_filled_dual.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(750, 275, 1085, 420)",335x145,RGB源图，已切片但背景/文字需二次抠图清理；不同道具双占
item_bar/itembar_stack_x2.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(1110, 275, 1235, 420)",125x145,RGB源图，已切片但背景/文字需二次抠图清理；同类×2示例局部
item_bar/item_count_badges.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(1240, 275, 1440, 420)",200x145,RGB源图，已切片但背景/文字需二次抠图清理；x1/x2数量角标
item_bar/item_slot_selected.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(25, 545, 210, 710)",185x165,RGB源图，已切片但背景/文字需二次抠图清理；槽位选中描边
item_bar/item_slot_disabled.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(215, 545, 405, 710)",190x165,RGB源图，已切片但背景/文字需二次抠图清理；槽位禁用态
item_bar/item_replace_popup.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(460, 510, 870, 760)",410x250,RGB源图，已切片但背景/文字需二次抠图清理；满槽替换弹窗
item_bar/item_replace_btn.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(880, 535, 1150, 620)",270x85,RGB源图，已切片但背景/文字需二次抠图清理；替换旧道具按钮
item_bar/item_keep_btn.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(880, 640, 1150, 725)",270x85,RGB源图，已切片但背景/文字需二次抠图清理；保留当前按钮
item_bar/item_drag_hint.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(1170, 500, 1440, 745)",270x245,RGB源图，已切片但背景/文字需二次抠图清理；拖拽替换提示
item_bar/itembar_title.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(25, 820, 335, 1030)",310x210,RGB源图，已切片但背景/文字需二次抠图清理；道具栏标题挂牌
item_bar/itembar_toggle.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(355, 820, 670, 1010)",315x190,RGB源图，已切片但背景/文字需二次抠图清理；收起/展开
item_bar/item_cooldown_overlay.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(705, 815, 915, 1015)",210x200,RGB源图，已切片但背景/文字需二次抠图清理；冷却遮罩
item_bar/item_slot_plus.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(960, 815, 1165, 1015)",205x200,RGB源图，已切片但背景/文字需二次抠图清理；空槽+号
item_bar/item_delete_btn.png,NEEDS_REVIEW,玩具风双槽道具栏ui素材表.png,"(1220, 815, 1440, 1035)",220x220,RGB源图，已切片但背景/文字需二次抠图清理；删除按钮
system_ui/splash_logo.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(45, 85, 325, 225)",280x140,RGB源图，需二次抠图/清边；启动Logo
system_ui/loading_spinner.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(350, 95, 495, 210)",145x115,RGB源图，需二次抠图/清边；加载转圈
system_ui/loading_dots.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(530, 115, 700, 205)",170x90,RGB源图，需二次抠图/清边；三点加载
system_ui/loading_bar.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(710, 105, 1065, 205)",355x100,RGB源图，需二次抠图/清边；加载进度条
system_ui/transition_card.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(1095, 70, 1405, 220)",310x150,RGB源图，需二次抠图/清边；全屏转场卡片
system_ui/offline_panel.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(40, 310, 305, 525)",265x215,RGB源图，需二次抠图/清边；断网面板
system_ui/empty_gallery_panel.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(320, 310, 575, 525)",255x215,RGB源图，需二次抠图/清边；空图鉴面板
system_ui/empty_record_panel.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(585, 310, 850, 525)",265x215,RGB源图，需二次抠图/清边；空记录面板
system_ui/retry_button.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(875, 310, 1120, 405)",245x95,RGB源图，需二次抠图/清边；重试按钮
system_ui/reconnect_button.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(875, 425, 1120, 505)",245x80,RGB源图，需二次抠图/清边；重新连接按钮
system_ui/empty_placeholder.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(1140, 300, 1410, 525)",270x225,RGB源图，需二次抠图/清边；空状态占位插画
system_ui/panel_9slice_light.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(40, 615, 285, 720)",245x105,RGB源图，需二次抠图/清边；通用9-slice底板
system_ui/popup_base_9slice.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(300, 590, 595, 730)",295x140,RGB源图，需二次抠图/清边；弹窗9-slice底板
system_ui/modal_mask_sample.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(610, 605, 825, 720)",215x115,RGB源图，需二次抠图/清边；弹窗遮罩示例
system_ui/toast_bubble.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(840, 605, 1095, 710)",255x105,RGB源图，需二次抠图/清边；提示气泡
system_ui/confirm_dialog.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(1110, 585, 1410, 730)",300x145,RGB源图，需二次抠图/清边；确认弹窗底板
system_ui/toast_success.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(35, 800, 175, 870)",140x70,RGB源图，需二次抠图/清边；成功提示
system_ui/toast_warning.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(180, 800, 330, 870)",150x70,RGB源图，需二次抠图/清边；警告提示
system_ui/toast_error.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(335, 800, 485, 870)",150x70,RGB源图，需二次抠图/清边；错误提示
system_ui/toast_saved.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(490, 800, 630, 870)",140x70,RGB源图，需二次抠图/清边；已保存提示
system_ui/toast_loading.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(640, 800, 810, 870)",170x70,RGB源图，需二次抠图/清边；加载中提示
system_ui/toggle_on.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(850, 795, 955, 875)",105x80,RGB源图，需二次抠图/清边；开关开
system_ui/toggle_off.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(955, 795, 1060, 875)",105x80,RGB源图，需二次抠图/清边；开关关
system_ui/lang_dropdown_closed.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(1060, 790, 1210, 875)",150x85,RGB源图，需二次抠图/清边；语言下拉关闭
system_ui/lang_dropdown_open.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(1210, 775, 1415, 900)",205x125,RGB源图，需二次抠图/清边；语言下拉打开
system_ui/icon_cloud_sync.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(345, 930, 455, 1045)",110x115,RGB源图，需二次抠图/清边；云同步
system_ui/icon_wifi_off.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(500, 930, 610, 1045)",110x115,RGB源图，需二次抠图/清边；断网
system_ui/icon_refresh.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(665, 930, 775, 1045)",110x115,RGB源图，需二次抠图/清边；刷新
system_ui/icon_empty_box.png,NEEDS_REVIEW,缺失核心系统ui素材第二批.png,"(825, 925, 955, 1055)",130x130,RGB源图，需二次抠图/清边；空箱
